int_rank,like_rank,interactions,video_id,video_title,upload_date,upload_time,view_count,like_count,comment_count,video_duration,tags
1,113,10.72,xlb0DllsC-c,Hank’s Most Brutal Challenge Yet?,29/04/2023,09:00:41,95157,4809,541,13:56,"['hank', 'hank gcn', 'epic ride', 'epic ride gcn', 'gcn epic ride', 'budget bike', 'cheap bike', 'cheap bike challenge', 'budget bike challenge', '200 miles', '£200 bike', '$200 bike', '$250 bike', 'cheap', 'budget', 'challenge', 'bike ride', 'brutal', 'epic', 'torrential rain', 'rain', 'uk', 'gcn cheap bike', 'gcn cheap bike challenge', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Road Cycling', 'Cyclist', 'GCN Cycling', 'sec-feature', 'ិ', 'ꔈ', 'ꗶ', 'Ղ', 'n1', 'ඡ', 'f3', 'ሙ', 'ଙ', 'ᠫ', 'ළ', 'Ꮽ', '𑢭\u200e', 'ꛟ', 'Ա', 'Լ', 'Ծ', 'ፕ15', 'ヵ', 'ዾ', '5045']"
2,16,10.03,sQZ5Qu6mAz4,Can A Beginner Complete A 312km Ride After 7 Weeks Training? | Ep. 3,28/11/2021,10:00:31,424907,22952,1974,21:28,"['freddie', 'freddie gcn', 'gcn freddie', 'zero to hero', 'epic sportive', 'sportive', 'beginner', 'beginner vs', 'gcn beginner', 'beginner cyclist', 'beginner challenge', 'cycling challenge', 'challenge', 'epic ride', 'mallorca', 'mallorca 312', 'mental health', 'depression', 'wahoo systm', 'get fit', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'ollie', 'sec-feature', 'sca15', 'gc21s', 'ꗧ', 'r1', 'ꗶ', 'Ղ', 'ඡ', 'ක', 'ཋ', 'ោ', 'ሙ', 'ସ', 'ଙ', 'ホ', 'ᠫ', 'ィ', 'ꔉ', 'ᠾ', 'ዩ', 'ළ', 'Բ', 'Թ', 'Լ', 'Ծ', 'Ձ', 'ፕ12', 'ュ', 'ዮ', '4528']"
3,54,8.39,n91tFafLouQ,How Durable Are Electronic Bike Gears? | Can We Destroy A Shimano Di2 Groupset?,04/04/2021,09:00:11,274271,10448,1263,21:21,"['di2', 'shimano', 'shimano di2', 'ultegra', 'ultegra di2', 'fragile di2', 'robust', 'strong', 'frozen', 'buried', 'sea', 'cliff jump', 'how strong is di2', 'is di2 robust', 'reliable', 'mechanical gears', 'shimano ultegra di2', 'can you destroy di2', 'buried di2', 'frozen di2', 'battery', 'electronic gears', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'oliver', 'bridgewood', 'sec-feature', 'ꗧ', 'c1', 'ꗶ', 'f3', 'ཋ', 'ସ', 'ଙ', 'ホ', 'ケ', 'パ', 'ው', 'ꖐ', 'o1', 'ゲ', 'ዩ', 'ළ', 'Բ', 'Ժ', 'Լ', 'Ծ', 'Ձ', 'ፕ11', 'サ', 'ዮ', 'ዾ', '4290']"
4,76,8.3,eM7B9VCGgAw,Critical Mass | How Much Weight Can You Cycle Up A Hill With?,30/01/2021,11:00:08,236234,7698,1208,17:03,"['weight', 'heavy', 'climb', 'up', 'uphill', 'how much', 'power', 'power to weight', 'climbers', 'climber', 'gravity', 'resistance', 'failure', 'fail', 'crash', 'fall', 'watts', 'trailer', 'pack', 'packing', 'science', 'lightweight', 'light', 'topeak', 'bike trailer', 'fall off', 'falling off', 'hill climb', 'kilograms', 'kg', 'kilos', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'sec-feature', 'ិ', 'gc11shs', 'r1', 'c1', 'ꗶ', 'n1', 'Ղ', 'ཋ', 'ሙ', 'ସ', 'ଙ', 'ホ', 'パ', 'Բ', 'Լ', 'Ծ', 'Ձ', 'ፕ15', 'ጎ', 'ዾ', '4226']"
5,126,8.14,U8gjgCQp_TU,Is Suspension The Future Of Gravel Bikes?,20/06/2020,09:00:14,142440,3945,773,09:40,"['gravel bike', 'gravel', 'gravel road', 'suspension', 'suspension fork', 'travel', 'cannondale', 'cannondale gravel bike', 'tyres', 'tires', 'tubeless', 'comfort', 'grip', 'lefty', 'ocho', 'oliver', 'topstone', 'topstone carbon', 'gravel riding', 'rear suspension', 'front suspension', 'MTB', 'XC MTB', 'mountain bike', 'off-road', 'trail', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'si', 'richardson', 'sec-feature', 'gc11shs', 'Ղ', 'ཋ', 'ସ', 'ホ', 'リ', 'ஜ', 'ዩ', 'ළ', 'Բ', 'Ժ', 'Ի', 'Հ', 'ፕ15', 'ኾ', '4002', 'groad']"
6,168,8.12,IYqtF47m4-M,What is your one piece of advice for new cyclists? 🚴‍♀️,24/04/2023,15:14:07,23411,490,153,00:19,None
7,160,8.09,fkwvnlT6x7Q,What’s The Best Bike Bag For Road Cycling?,21/04/2023,09:00:24,80390,1787,481,11:01,"['bike bag', 'bike storage', 'bag for bikes', 'bag for bicycle', 'bar bag', 'bar bag cycling', 'handlebar bag', 'handlebar bags for bikes', 'handlebar bag road bike', 'saddle bag', 'seat pack', 'frame bag', 'saddle bag for bike', 'saddlebag', 'bar bag vs frame bag', 'frame bag road bike', 'bikepacking', 'challenge', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Road Cycling', 'Cyclist', 'GCN Cycling', 'sec-feature', 'gc21s', 'ꗧ', 'c1', 'ꔈ', 'ꗶ', 'Ղ', 'n1', 'ሙ', 'ସ', 'ଙ', 'ᠫ', 'パ', 'ළ', 'Ꮽ', 'Ա', 'Լ', 'Ծ', 'ፕ15', 'ザ', 'ጞ', 'ጎ', '5037']"
8,27,8.04,P5mlqUhhYmA,Is A Retro Time Trial Bike Faster Than A Modern Superbike?,06/08/2022,09:00:11,291148,18069,549,16:22,"['superbike', 'super bike', 'vintage', 'retro', 'tt', 'time trial', 'timetrial', 'time-trial', 'super', 'aero', 'aerodynamic', 'CDA', 'how fast', 'faster', 'fastest', 'fast', 'rolling resistance', 'modern cutting-edge', 'cutting edge', 'tdf', 'tour de france', 'win', 'winner', 'wins', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'sec-feature', 'ꗧ', 'Ղ', 'ሙ', 'ସ', 'ホ', 'ළ', 'Ꮽ', 'Բ', 'Ժ', 'Ի', 'Ծ', 'Ձ', 'ፕ15', 'サ', 'ኾ', 'ዮ', '4779', 'ꗶ', '൱']"
9,165,7.25,3w7eYTL0gPc,Can I Survive A Road Race On A Gravel Bike?,30/04/2023,09:00:02,27582,1284,81,08:36,"['gravel bike vs road race', 'gravel bike vs road bike', 'gravel vs road bike', 'gravel bike', 'gravel cycling', 'gravel riding', 'gravel', 'gravel race', 'gravel bike race', 'road race', 'race', 'bike race', 'crit race', 'crit', 'criterium', 'conor dunne', 'conor gcn', 'gcn vs', 'thruxton', 'thruxton circuit', 'orbea terra', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Road Cycling', 'Cyclist', 'GCN Cycling', 'sec-feature', 'sca15', 'gc21s', 'ꗧ', 'c1', 'ꗶ', 'Ղ', 'n1', 'ሙ', 'ସ', 'ଙ', 'ᠫ', 'パ', 'ꗖ', 'ළ', 'Ꮽ', 'Ա', 'Լ', 'Ձ', 'ፕ15', 'ザ', 'ጞ', '5046']"
10,133,6.91,eWObNg7JklQ,Are You Faster Than A 14 Year Old?,22/04/2023,09:00:20,88306,3517,260,12:20,"['ex pro vs kids', 'ex-pro vs kids', 'are you faster than', 'are you faster than a 14 year old', 'are you faster than a 9th grader', '14 year old', '9th grader', 'oli akers', 'harley widdowson', 'youth cycling', 'youth cyclist', 'junior cycling', 'junior cyclist', 'challenge', 'gcn vs', 'hank', 'hank gcn', 'u14 cycling', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Road Cycling', 'Cyclist', 'GCN Cycling', 'sec-feature', 'gc21s', 'ꗧ', 'r1', 'ꗶ', 'Ղ', 'n1', 'ସ', 'ଙ', 'ළ', 'Ꮽ', 'Ա', 'Լ', 'Ծ', 'Ձ', 'ፕ15', 'ヵ', 'ዾ', '5038']"
11,53,6.87,iYPv27a-geE,Roadie VS Mountain Biker: Who#39;s Faster Up Cobbled Climbs? | GCN X GMBN Flanders Challenge!,03/04/2021,09:00:14,253097,10551,698,10:19,"['flanders', 'tour of flanders', 'belgium', 'ronde', 'ronde van vlaandren', 'rvv', 'bergs', 'koppenberg', 'cobbles', 'cobbles climb', 'steep climb', 'short climb', 'power', 'max power', 'watts', 'sprint', 'vs', 'gmbn', 'gcn vs gmbn', 'blake', 'hank', 'bristol', 'vale street', 'steepest', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'james', 'lowsley', 'williams', 'samson', 'sec-feature', 'gc21s', 'ិ', 'ꗧ', 'r1', 'c1', 'ꗶ', 'n1', 'Ղ', 'ཋ', 'ሙ', 'ସ', 'ଙ', 'ホ', 'ケ', 'パ', 'ළ', 'Բ', 'Ժ', 'Լ', 'Ծ', 'Ձ', 'ፕ15', 'ヵ', 'ዾ', 'ፎ', '4289']"
