int_rank,like_rank,interactions,video_id,video_title,upload_date,upload_time,view_count,like_count,comment_count,video_duration,tags
1,24,10.03,sQZ5Qu6mAz4,Can A Beginner Complete A 312km Ride After 7 Weeks Training? | Ep. 3,28/11/2021,10:00:31,424907,22952,1974,21:28,"['freddie', 'freddie gcn', 'gcn freddie', 'zero to hero', 'epic sportive', 'sportive', 'beginner', 'beginner vs', 'gcn beginner', 'beginner cyclist', 'beginner challenge', 'cycling challenge', 'challenge', 'epic ride', 'mallorca', 'mallorca 312', 'mental health', 'depression', 'wahoo systm', 'get fit', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'ollie', 'sec-feature', 'sca15', 'gc21s', 'ꗧ', 'r1', 'ꗶ', 'Ղ', 'ඡ', 'ක', 'ཋ', 'ោ', 'ሙ', 'ସ', 'ଙ', 'ホ', 'ᠫ', 'ィ', 'ꔉ', 'ᠾ', 'ዩ', 'ළ', 'Բ', 'Թ', 'Լ', 'Ծ', 'Ձ', 'ፕ12', 'ュ', 'ዮ', '4528']"
2,240,9.79,dcTqfSfxvGo,The Future Of Cycling Is Here! | New GCN Bike First Look,01/04/2022,09:00:32,177682,4830,1261,06:20,"['gcn bike', 'gcn', 'bike', 'custom', 'custom bike', 'new bike', 'new', 'endurallgroad', 'enduro', 'endurance', 'all road', 'allroad', 'all-road', 'gravel', 'road', 'road bike', 'mtb', 'mountain bike', 'hybrid', 'first look', 'game changer', 'gamechanger', 'future', 'future of cycling', 'best', 'ultimate', 'april fools', 'april fool’s', 'fool', 'joke', 'prank', 'hoax', 'trick', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'sec-feature', 'ិ', 'ꗧ', 'n1', 'g3', 'ሙ', 'ସ', 'ホ', 'ᠫ', 'ィ', 'ළ', 'Ꮽ', 'Բ', 'Ձ', 'ፕ15', 'サ', 'ጞ', 'ዮ', '꘎', '4652']"
3,176,8.32,ije46p1E_r8,How Not To Be A D**k On A Bike | Simple Cycling Etiquette,15/05/2019,18:00:06,247518,6546,1414,04:16,"['cycling etiquette', 'rules of the road', 'rules', 'red light', 'footpath', 'sidewalk', 'pavement', 'stop', 'laws', 'safe', 'etiquette', 'road', 'highway', 'code', 'signal', 'indicate', 'behaviour', 'users', 'planning', 'route', 'main', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'GCN Cycling', 'velo', 'james lowsley williams', 'chris opie', 'sec-how-to', 'sca15', 'gc21s', 'gc11shs', 'ඃ', 'c3', 'c1', 'h3', 'gc11sas', 'Ꮋ', 'ඡ', 'Ղ', 'ඵ', 'Բ', 'Է', 'Հ', '3600', 'considerate', 'polite', 'illegal']"
4,425,8.12,IYqtF47m4-M,What is your one piece of advice for new cyclists? 🚴‍♀️,24/04/2023,15:14:07,23411,490,153,00:19,None
5,80,7.34,UQmuQEB38Tg,Unofficial World Record! - The Uphill Hour,30/12/2018,10:00:01,246570,11377,684,12:01,"['GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'hour', 'climbing', 'VAM', 'altitude', 'elevation', 'uphill', 'hill', 'mountain', 'hill climb', 'power', 'ftp', 'world record', 'record', 'first', 'oman', 'jebel akhdar', 'steep', 'hard', 'tough', 'race', 'effort', 'haute route', 'tour of oman', 'GCN Cycling', 'Cycling tips', 'cycling workout', 'cycling training', 'velo', 'emma pooley', 'sec-feature', 'plec', 'sca15', 'gc21s', 'gc11shs', 'gc04s1', 'c3', 'r1', 'c1', 'h3', 'gc11sas', 'p1', 'Ղ', 'ཋ', 'Գ', 'ฐԼ', 'Ծ', 'Ձ', '3464']"
6,127,7.28,5nWsV0Be-vI,How To Fuel Your Ride | Emma#39;s Banoffee Pie Overnight Oats,09/06/2018,16:00:00,188226,8244,550,04:58,"['GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'nutrition', 'food', 'overnight oats', 'oat', 'porridge', 'oatmeal', 'energy', 'breakfast', 'fuel', 'carbohydrates', 'preride meal', 'cycling nutiriton', 'yoghurt', 'milk', 'banana', 'banoffee pie', 'banoffee', 'cake', 'sugar', 'GCN Cycling', 'Cycling Tips', 'cycling workout', 'cycling training', 'velo', 'sec-how-to', 'plnu', 'Ա', 'Լ', 'Ծ', 'Ձ', '3259', 'cycling nutrition']"
7,152,7,dgGMjad19DU,America’s Secret Cycling Paradise - Hank’s Perfect Ride In Fayetteville,15/01/2022,00:00:25,202980,7339,692,16:26,"['gravel', 'USA', 'united states', 'united states of america', 'US', 'CX', 'epic', 'adventure', 'trail', 'cyclo-cross', 'cyclo cross', 'cross', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'sec-feature', 'ꗧ', 'ཋ', 'ሙ', 'ホ', '𐒜', 'ꚰ', 'ዩ', 'ළ', '𐒋', 'Բ', 'Ժ', 'Լ', 'Ծ', 'Ձ', 'ヵ', 'ዾ', '4576', 'ඡ']"
8,93,6.87,iYPv27a-geE,Roadie VS Mountain Biker: Who#39;s Faster Up Cobbled Climbs? | GCN X GMBN Flanders Challenge!,03/04/2021,09:00:14,253097,10551,698,10:19,"['flanders', 'tour of flanders', 'belgium', 'ronde', 'ronde van vlaandren', 'rvv', 'bergs', 'koppenberg', 'cobbles', 'cobbles climb', 'steep climb', 'short climb', 'power', 'max power', 'watts', 'sprint', 'vs', 'gmbn', 'gcn vs gmbn', 'blake', 'hank', 'bristol', 'vale street', 'steepest', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'james', 'lowsley', 'williams', 'samson', 'sec-feature', 'gc21s', 'ិ', 'ꗧ', 'r1', 'c1', 'ꗶ', 'n1', 'Ղ', 'ཋ', 'ሙ', 'ସ', 'ଙ', 'ホ', 'ケ', 'パ', 'ළ', 'Բ', 'Ժ', 'Լ', 'Ծ', 'Ձ', 'ፕ15', 'ヵ', 'ዾ', 'ፎ', '4289']"
9,209,6.83,gEoPYR5pw0E,"Super Bikes, Italian Car amp; Not Getting Dropped… | The Dream Ride",23/05/2021,09:00:14,168348,5519,605,16:49,"['ride', 'dream', 'ultimate', 'best', 'campagnolo', 'super record', 'eps', 'electronic shifting', 'bora', 'bora ultra', 'pinarello', 'dogma', 'f12', 'superbike', 'hyperbike', 'lakes', 'lake district', 'the struggle', 'windermere', 'ambleside', 'UNESCO world heritage', 'scenery', 'steep', 'hills', 'dropped', 'route', 'komoot', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'ollie', 'bridgewood', 'alex', 'paton', 'sec-feature', 'ិ', 'ꗧ', 'ꗶ', 'Ղ', 'ඡ', 'ཋ', 'ሙ', 'ସ', 'ଙ', 'ホ', 'ꖂ', 'ዩ', 'Բ', 'Ժ', 'ፕ1', 'ュ', 'ዮ', '꘎', '4340']"
10,257,6.76,k7bB6t33oUY,Clipless Pedals Vs Flat Pedals | To Clip In Or Not To Clip In,12/06/2021,09:00:11,196631,4453,890,17:58,"['pedals', 'bike pedals', 'bicycle pedals', 'flat pedals', 'clipless pedals', 'clip less pedals', 'clip in pedals', 'clip in', 'crash', 'power', 'efficiency', 'sprint', 'effort', 'pedalling', 'upstroke', 'trainers', 'fall', 'walking in road cycling shoes', 'cleats', 'unclip', 'clipped in', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'manon', 'lloyd', 'james', 'lowsley', 'williams', 'sec-feature', 'sca15', 'ិ', 'ꗧ', 'r1', 'c1', 'ꗶ', 'Ղ', 'n1', 'ཋ', 'ሙ', 'ସ', 'ଙ', 'ホ', 'ケ', 'パ', 'ළ', 'Ա', 'Ժ', 'Լ', 'Ծ', 'Հ', 'ፕ15', 'ェ', 'ጎ', 'ዾ', '4358']"
